detector_date,ncalls,qual,ANPA,EPFU,MYEV,MYTH,LANO,LACI,MYCA,LABL,PAHE,MYLU,MYVO,TABR,MYYU,COTO,EUPE,TOTA
SM4_20120620,619.0,20.268419270999996,0.0,6.0,0.0,0.0,4.0,0.0,0.0,3.0,20.0,0.0,3.0,10.0,10.0,0.0,0.0,56.0
SM4_20120621,310.0,16.657225529000002,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,24.0,7.0,0.0,0.0,44.0
SM4_20120622,1230.0,41.038711215000006,0.0,20.0,1.0,0.0,18.0,1.0,0.0,0.0,12.0,0.0,0.0,50.0,11.0,0.0,0.0,113.0
SM4_20120623,415.0,26.890390839000005,0.0,9.0,1.0,0.0,2.0,0.0,1.0,7.0,4.0,1.0,2.0,7.0,45.0,0.0,0.0,79.0
SM4_20120624,42.0,1.619516129,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
SM4_20120625,51.0,5.0356060600000001,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0
SM4_20120626,9.0,2.0100000000000002,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
SM4_20120627,190.0,19.012714287000005,1.0,13.0,1.0,0.0,10.0,0.0,2.0,1.0,1.0,0.0,2.0,7.0,3.0,0.0,0.0,41.0
SM4_20120628,82.0,6.4588571430000004,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,16.0
SM4_20120629,30.0,4.5995000000000008,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,12.0
SM4_20120630,141.0,6.0907096860000003,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,7.0,0.0,0.0,0.0,16.0
SM4_20120701,113.0,4.9756031749999998,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,3.0,0.0,0.0,14.0
SM4_20120702,46.0,3.3934603180000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,9.0
SM4_20120703,91.0,3.812444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,3.0,0.0,0.0,13.0
SM4_20120704,22.0,1.353888889,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0
SM4_20120705,7.0,0.67249999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
SM4_20120706,28.0,1.1240178570000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
SM4_20120707,106.0,8.5363073320000016,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,11.0,3.0,0.0,0.0,21.0
SM4_20120708,289.0,21.850318418000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,2.0,3.0,0.0,0.0,64.0
SM4_20120709,346.0,21.232468293,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,44.0,0.0,0.0,4.0,6.0,0.0,0.0,62.0
SM4_20120710,25.0,1.6274999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0
SM4_20120711,61.0,1.8241798940000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0
SM4_20120712,35.0,1.2511111109999999,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0
SM4_20120713,15.0,1.262666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0
SM4_20120714,2.0,0.33000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
SM4_20120715,14.0,0.67111111099999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
SM4_20120716,3.0,0.51666666699999997,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SM4_20120717,13.0,0.869166667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
SM4_20120718,151.0,6.8971996749999995,0.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,10.0,0.0,0.0,21.0
SM4_20120719,236.0,10.597890707999998,0.0,4.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,20.0,0.0,0.0,35.0
SM4_20120720,792.0,21.316993071999999,0.0,8.0,2.0,0.0,1.0,0.0,9.0,0.0,0.0,2.0,1.0,0.0,54.0,0.0,0.0,77.0
SM5_20120609,7.0,1.608333333,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
SM5_20120610,13.0,0.70833333300000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
