site,date,detector_date,bug_date,bug_1,bug_2,bug_3,20110714,20110802,20110818,bug_count
NCTBR,20110810,SM5_20110810,20110802,20110714,20110802,20110818,12.6,24.0,20.800000000000001,24.0
NCTBR,20110811,SM5_20110811,20110818,20110714,20110802,20110818,12.6,24.0,20.800000000000001,20.800000000000001
NCTBR,20110812,SM5_20110812,20110818,20110714,20110802,20110818,12.6,24.0,20.800000000000001,20.800000000000001
NCTCR,20110813,SM5_20110813,20110818,20110714,20110802,20110818,10.6,18.399999999999999,11.0,11.0
NCTCR,20110814,SM5_20110814,20110818,20110714,20110802,20110818,10.6,18.399999999999999,11.0,11.0
NCTCR,20110815,SM5_20110815,20110818,20110714,20110802,20110818,10.6,18.399999999999999,11.0,11.0
NCTCR,20110816,SM5_20110816,20110818,20110714,20110802,20110818,10.6,18.399999999999999,11.0,11.0
FNSUP,20110817,SM5_20110817,20110818,20110714,20110802,20110818,1.0,1.8,0.80000000000000004,0.80000000000000004
FNSUP,20110818,SM5_20110818,20110818,20110714,20110802,20110818,1.0,1.8,0.80000000000000004,0.80000000000000004
FNSUP,20110819,SM5_20110819,20110818,20110714,20110802,20110818,1.0,1.8,0.80000000000000004,0.80000000000000004
SMMIP,20110820,SM5_20110820,20110818,20110714,20110802,20110818,3.7999999999999998,9.8000000000000007,5.0,5.0
SMMIP,20110821,SM5_20110821,20110818,20110714,20110802,20110818,3.7999999999999998,9.8000000000000007,5.0,5.0
SMMIP,20110822,SM5_20110822,20110818,20110714,20110802,20110818,3.7999999999999998,9.8000000000000007,5.0,5.0
HOCRP,20110823,SM5_20110823,20110818,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003,34.200000000000003
HOCRP,20110824,SM5_20110824,20110818,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003,34.200000000000003
HOCRP,20110825,SM5_20110825,20110818,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003,34.200000000000003
HOCRP,20110826,SM5_20110826,20110818,20110714,20110802,20110818,53.399999999999999,89.599999999999994,34.200000000000003,34.200000000000003
COHOP,20110827,SM5_20110827,20110818,20110714,20110802,20110818,,,,
COHOP,20110828,SM5_20110828,20110818,20110714,20110802,20110818,,,,
COHOP,20110829,SM5_20110829,20110818,20110714,20110802,20110818,,,,
COWAP,20110714,SM6_20110714,20110714,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
COWAP,20110715,SM6_20110715,20110714,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
COWAP,20110716,SM6_20110716,20110714,20110714,20110802,20110818,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004
PIKAP,20110717,SM6_20110717,20110714,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999,20.399999999999999
PIKAP,20110718,SM6_20110718,20110714,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999,20.399999999999999
PIKAP,20110719,SM6_20110719,20110714,20110714,20110802,20110818,20.399999999999999,17.399999999999999,16.199999999999999,20.399999999999999
