site,extra,pair,detector_date,ncalls,qual,date,ANPA,EPFU,MYEV,MYTH,LANO,LACI,MYCA,LABL,PAHE,MYLU,MYVO,TABR,MYYU,COTO,EUPE,TOTA,Hab05km,Hab10km,Hab15km,Hab20km,Hab25km,Hab30km,Hab35km,Hab40km,Hab45km,Hab50km,Hab55km,Hab60km,bug_count,min_temp,mean_temp
HYDER,0,0,SM3_20110715,275,15.96079515,20110715,1,3,0,0,3,1,0,0,0,2,0,24,9,0,0,43,0.58,0.51,0.52,0.49,0.48,0.47,0.48,0.47,0.46,0.46,0.46,0.47,2,17.4,20.98015873
HYDER,0,0,SM3_20110716,675,19.75069865,20110716,2,4,0,0,1,2,0,1,0,3,0,23,22,0,0,58,0.58,0.51,0.52,0.49,0.48,0.47,0.48,0.47,0.46,0.46,0.46,0.47,2,18.9,21.88503937
NCTBR,0,0,SM3_20110717,317,7.916780536,20110717,8,4,0,0,0,0,0,0,2,0,1,3,5,1,0,24,0.17,0.34,0.38,0.43,0.47,0.49,0.49,0.5,0.52,0.55,0.57,0.6,12.6,15.8,20.64409449
NCTBR,0,0,SM3_20110718,369,8.464414112,20110718,6,4,0,0,0,0,0,0,0,0,0,4,10,1,0,25,0.17,0.34,0.38,0.43,0.47,0.49,0.49,0.5,0.52,0.55,0.57,0.6,12.6,17.6,22.04094488
NCTBR,0,0,SM3_20110719,139,3.873879122,20110719,4,2,0,0,1,0,1,0,0,0,0,0,4,0,0,12,0.17,0.34,0.38,0.43,0.47,0.49,0.49,0.5,0.52,0.55,0.57,0.6,12.6,16.5,22.5023622
NCTBR,0,0,SM3_20110720,253,6.376386998,20110720,4,4,0,0,0,1,2,0,0,0,0,3,5,0,0,19,0.17,0.34,0.38,0.43,0.47,0.49,0.49,0.5,0.52,0.55,0.57,0.6,12.6,19.6,23.7703125
JPBDR,0,0,SM3_20110721,214,6.256639392,20110721,0,0,0,0,0,1,1,0,0,1,0,5,8,0,1,17,0,0.1,0.24,0.32,0.36,0.38,0.41,0.43,0.45,0.5,0.54,0.58,12.2,20.8,25.465625
JPBDR,0,0,SM3_20110722,177,4.783919263,20110722,0,1,0,0,0,0,0,0,0,0,0,3,12,0,0,16,0,0.1,0.24,0.32,0.36,0.38,0.41,0.43,0.45,0.5,0.54,0.58,12.2,19.8,24.43828125
JPBDR,0,0,SM3_20110723,121,4.444220814,20110723,1,2,0,0,0,1,0,0,0,0,0,2,4,0,0,10,0,0.1,0.24,0.32,0.36,0.38,0.41,0.43,0.45,0.5,0.54,0.58,12.2,19.1,23.271875
JPHRP,0,1,SM3_20110724,1198,33.96663778,20110724,0,6,0,0,2,0,14,3,3,6,0,8,73,0,0,115,0.56,0.59,0.56,0.55,0.54,0.54,0.54,0.57,0.6,0.63,0.65,0.67,4.4,19.3,22.71162791
