detector_date,max_temp,min_temp,temp_sunset,mean_temp
SM5_20120716,22.7,18.6,19.8,21.57007874
SM5_20120717,22.6,12.5,19.6,17.6984252
SM5_20120718,27.5,18.3,23.9,21.99527559
SM5_20120719,27.9,17.4,24.9,21.58346457
SM5_20120720,34,18.8,30.8,25.803125
SM6_20110714,23.4,16.5,19.1,20.0484127
SM6_20110715,21.6,17.8,17.8,20.94126984
SM6_20110716,25.1,19.1,21.2,21.99685039
SM6_20110717,23.7,14.3,20.1,19.51968504
SM6_20110718,24.6,16.3,20.9,20.73700787
SM6_20110719,27.5,15.3,24.4,21.84409449
SM6_20110720,29,18.4,26,23.42734375
SM6_20110721,28.5,19.8,24.6,24.246875
SM6_20110722,26,18.9,22.4,23.05625
SM6_20110723,24.9,18.6,21.4,22.284375
SM6_20110724,26,18.3,23.1,21.49069767
SM6_20110725,26.9,14.3,23.9,20.54806202
SM6_20110726,27.4,19.3,24.7,23.11085271
SM6_20110727,28.9,15,26.4,21.61461538
SM6_20110728,27.5,17.4,24.2,22.38230769
SM6_20110729,24.4,17.9,21.1,22.07307692
SM6_20110730,24.7,17.1,21.4,21.45801527
SM6_20110731,26.7,18.8,22.6,23.88320611
SM6_20110803,26.9,18.4,23.9,21.91742424
SM6_20110804,26.5,17.9,23.6,21.82406015
SM6_20110805,27.2,17.8,24.6,21.89849624
SM6_20110806,23.4,16.5,19.6,21.04511278
SM6_20110807,23.6,16.8,20.6,20.85746269
SM6_20110808,24.4,16.8,21.6,20.4141791
SM6_20110809,25.1,17,22.4,20.40746269
SM6_20110810,21.9,16,19.3,19.58814815
SM6_20110811,22.2,16.5,19.6,19.74962963
SM6_20110812,24.1,16.1,21.7,19.45073529
SM6_20110813,25.9,13.6,21.4,19.90514706
SM6_20110814,25.4,13.8,21.6,19.82116788
SM6_20110815,25.4,18.3,21.4,21.17956204
SM6_20110816,24.2,18.1,20.8,20.89270073
SM6_20110817,27.5,18.3,24.6,22.16449275
SM6_20110818,26,17.6,23.2,20.83913043
SM6_20110819,23.7,17.9,21.1,21.44460432
SM6_20110820,27.5,17.3,24.7,21.81798561
SM6_20110821,28.5,17.8,26.5,21.84857143
SM6_20110822,30.5,15,28.7,21.66642857
SM6_20110823,31.8,17.1,28.9,23.41785714
SM6_20110824,28.2,17.1,25.4,22.47234043
SM6_20110825,29.3,17.3,26.5,22.05673759
SM6_20110826,28.2,25.7,25.7,27.51666667
SM6_20110827,30.3,17,27,22.58450704
SM6_20110828,29.5,14.1,26.7,21.21188811
SM6_20110829,29.8,13,27.2,20.42307692
SM6_20120609,29.3,22.7,25.1,27.17903226
SM6_20120610,28.9,11.8,26.2,19.76854839
SM6_20120611,28.7,14.1,25.9,20.86747967
SM6_20120612,31.3,14.5,28.2,22.78780488
SM6_20120613,27,13.2,23.2,20.71300813
SM6_20120614,26.9,12.2,23.9,19.42601626
SM6_20120615,28.4,14.6,25.4,21.59837398
SM6_20120616,34.3,17.4,32.2,25.31707317
SM6_20120617,28.7,17.3,26.2,21.75284553
SM6_20120618,23.6,13.5,21.1,18.77073171
SM6_20120619,28.9,13,26.5,19.94796748
SM6_20120620,30.5,17,26.9,23.32682927
SM6_20120621,22.7,12.5,19.1,18.26260163
SM6_20120622,22.6,12.7,18.4,19.69430894
SM6_20120623,21.9,6.5,19.6,13.55934959
SM6_20120624,23.2,7.4,21.2,13.99268293
SM6_20120625,22.1,7.4,19.4,15.05121951
SM6_20120626,26.2,13,22.4,20.55284553
SM6_20120627,28,13.2,25.4,20.44146341
SM6_20120628,28,16.8,25.4,20.92926829
SM6_20120629,27.5,17.3,24.9,21.80813008
SM6_20120630,28.2,21.1,24.9,24.80650407
SM6_20120701,25.5,20.1,22.4,23.61532258
SM6_20120702,24.2,13.8,21.2,19.16612903
SM6_20120703,25.2,14.6,22.4,20.05564516
SM6_20120704,25.4,18.1,20.9,22.36774194
SM6_20120705,24.4,17.1,20.6,20.25403226
SM6_20120706,26,13.3,22.6,19.83870968
SM6_20120707,29.3,17.6,26.4,22.912
SM6_20120708,26.5,13.6,23.4,20.5528
SM6_20120709,26.7,17.3,23.7,20.8568
SM6_20120710,30.5,15.5,27.9,22.7112
SM6_20120711,31.3,16.6,27.5,23.9944
SM6_20120712,27.4,17.1,23.9,21.78015873
SM6_20120713,22.1,15.8,18.6,19.59761905
SM6_20120714,25.4,16,22.6,20.5468254
SM6_20120715,22.4,15.5,19.8,19.34920635
SM6_20120716,21.4,17.9,18.6,20.72047244
SM6_20120717,21.2,12.8,18.4,17.08661417
SM6_20120718,27.5,17.8,23.7,21.7519685
SM6_20120719,27.9,16.3,24.7,21.23937008
SM6_20120720,33.1,17.9,30.3,25.41953125
