,site,date,detector_date,bug_date,bug_1,bug_2,bug_3,20110714,20110802,20110818
181,JPHRP,20110820,SM3_20110820,20110818,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
182,JPHRP,20110821,SM3_20110821,20110818,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
183,JPHRP,20110822,SM3_20110822,20110818,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
184,JPHRR,20110820,SM2_20110820,20110818,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
185,JPHRR,20110821,SM2_20110821,20110818,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
186,JPHRR,20110822,SM2_20110822,20110818,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
187,JPHRR,20110724,SM6_20110724,20110802,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
188,JPHRR,20110725,SM6_20110725,20110802,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
189,JPHRR,20110726,SM6_20110726,20110802,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
190,JPHRR,20110727,SM6_20110727,20110802,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
191,JPHRX,20110820,SM1_20110820,20110818,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
192,JPHRX,20110821,SM1_20110821,20110818,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
193,JPHRX,20110822,SM1_20110822,20110818,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
194,JPHRX,20110820,SM4_20110820,20110818,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
195,JPHRX,20110821,SM4_20110821,20110818,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
196,JPHRX,20110822,SM4_20110822,20110818,20110714,20110802,20110818,7.5999999999999996,4.4000000000000004,3.6000000000000001
197,NCTBR,20110717,SM3_20110717,20110714,20110714,20110802,20110818,12.6,24.0,20.800000000000001
198,NCTBR,20110718,SM3_20110718,20110714,20110714,20110802,20110818,12.6,24.0,20.800000000000001
199,NCTBR,20110719,SM3_20110719,20110714,20110714,20110802,20110818,12.6,24.0,20.800000000000001
200,NCTBR,20110720,SM3_20110720,20110714,20110714,20110802,20110818,12.6,24.0,20.800000000000001
201,NCTBR,20110806,SM5_20110806,20110802,20110714,20110802,20110818,12.6,24.0,20.800000000000001
202,NCTBR,20110807,SM5_20110807,20110802,20110714,20110802,20110818,12.6,24.0,20.800000000000001
203,NCTBR,20110808,SM5_20110808,20110802,20110714,20110802,20110818,12.6,24.0,20.800000000000001
204,NCTBR,20110809,SM5_20110809,20110802,20110714,20110802,20110818,12.6,24.0,20.800000000000001
205,NCTBR,20110810,SM5_20110810,20110802,20110714,20110802,20110818,12.6,24.0,20.800000000000001
206,NCTBR,20110811,SM5_20110811,20110818,20110714,20110802,20110818,12.6,24.0,20.800000000000001
207,NCTBR,20110812,SM5_20110812,20110818,20110714,20110802,20110818,12.6,24.0,20.800000000000001
208,NCTCR,20110717,SM2_20110717,20110714,20110714,20110802,20110818,10.6,18.399999999999999,11.0
209,NCTCR,20110718,SM2_20110718,20110714,20110714,20110802,20110818,10.6,18.399999999999999,11.0
210,NCTCR,20110719,SM2_20110719,20110714,20110714,20110802,20110818,10.6,18.399999999999999,11.0
